Latin,English,Part of Speech
-ne,(indicates a question),Other
"accipiō, accipere, accēpī, acceptum",accept,Verb
"aciēs, aciēī, f.",line of battle; sharp edge,Noun
"adiuvō, adiuvāre, adiūvī, adiūtum",to help,Verb
"aēr, aēris, m.",air,Noun
"aestās, aestātis, f.",summer,Noun
"ager, agrī, m.",field,Noun
"agō, agere, ēgī, āctus","to drive, do, act",Verb
"aliquis, aliquid","someon, something",Pronoun
"alius, alia, aliud","other, another",Adjective
"alter, altera, alterum","the other (of two), the second; when used twice, ""the one. . . the other""",Adjective
"altus, -a, -um","high, deep",Adjective
"ambulō, ambulāre, ambulāvī, ambulātum",to walk,Verb
"amīcus, amīcī, m.",friend,Noun
"amō, amāre, amāvī, amātum",to love,Verb
"angustus, -a, -um","narrow, confined",Adjective
"annus, annī, m.",year,Noun
"aqua, aquae, f.",water,Noun
"armātus, -a, -um","armed, equipped",Adjective
"audāx, audācis (gen.)","bold, brave, audacious",Adjective
"audiō, audīre, audīvī, audītus",to hear,Verb
"augeō, augēre, auxī, auctum",to increase,Verb
aut,or,Conjunction
autem,"however, moreover",Adverb
"avis, avis, f.",bird,Noun
"bellum, bellī, n.",war,Noun
"benevolentia, -ae, f.",good will,Noun
"benignus, -a, -um","kind, friendly",Adjective
"brevis, breve","short, brief",Adjective
"caelum, caelī, n.",sky,Noun
"Caelus, Caelī, m.",Sky,Noun
"calamitās, calamitātis, f.",calamity,Noun
"Campānus, -a, -um",Campanian (from Capua),Adjective
"capiō, capere, cēpī, captum","to take, seize, capture",Verb
"captīvus, -a, -um",captive,Adjective
"Capua, -ae, f.",Capua (a city),Noun
"caput, capitis, n.",head,Noun
"cāritās, -tātis, f.","love, devotion",Noun
"cārus, -a, -um","dear, beloved",Adjective
"castra, castrōrum, n. pl.",camp,Noun
"certō, certāre, certāvī, certātum",to compete,Verb
"certus, certa, certum","certain, sure",Adjective
"cervīx, cervīcis, f.",neck,Noun
"cibus, -ī, m.",food,Noun
circum (+ acc.),around,Preposition
"cīvis, cīvis, m./f.",citizen,Noun
"cīvitās, -tātis, f.","state, citizenry",Noun
"clāmō, clāmāre, clāmāvī, clāmātum",to shout,Verb
"claudō, claudere, clausī, clausum","to close, shut, block",Verb
"cognōmen, cognōminis, n.","surname, honorary name",Noun
"cognōscō, cognōscere, cognōvī, cognōtus","to perceive, to recognize, to know",Verb
"comitia centuriāta, -ōrum, n. pl.",popular assembly; elections,Noun
"committō, committere, commīsī, commīsum",join,Verb
"comparō, comparāre, comparāvī, comparātum",to prepare,Verb
"coniunx, coniugis, m./f.",spouse,Noun
"coniūrātus, -ī, m.",conspirator (one bound by an oath),Noun
"cōnsilium, cōnsiliī, n.","plan, idea",Noun
"cōnstituō, cōnstituere, cōnstituī, cōnstitūtum",to decide,Verb
"cōnsul, cōnsulis, m.",consul,Noun
contrā,against,Preposition
"cornū, cornūs, n.",horn,Noun
"corpus, corporis, n.",body,Noun
"crēdō, crēdere, crēdidī, crēditum","to believe, trust",Verb
"creō, creāre, creāvī, creātum","to create, elect, appoint",Verb
"creō, creāre, creāvī, creātus","create, choose, elect",Verb
"crūdēlis, -e",cruel,Adjective
